mmsi,type,type_specific,name,country_iso
636017582,Cargo - Hazard A (Major),Container Ship,MSC SENA,LR
636017581,Cargo - Hazard A (Major),Container Ship,MSC ANNICK,LR
636017514,Cargo - Hazard D (Recognizable),Container Ship,MSC CORNELIA,LR
636017445,Tanker,LNG Tanker,MARIA ENERGY,LR
636017444,Cargo,Bulk Carrier,GMI TARITA,
636017424,Tanker,Oil or Chemical Tanker,HOUYOSHI PARK,LR
636017392,Cargo - Hazard D (Recognizable),General Cargo,INDUSTRIAL SKIPPER,LR
636017387,,,,
636017374,,,,
636017370,Cargo,Bulk Carrier,RONG MAY,LR
636017346,Cargo,Container Ship,MSC SHAULA,LR
636017329,,,,
636017306,Cargo,Container Ship,MSC LEO VI,LR
636017191,High Speed Craft,Container Ship,MSC GRENADA III,LR
636017188,Cargo,Bulk Carrier,JUTTA,LR
636017142,Tanker,LPG Tanker,ONTARIO,LR
636017140,Tanker,LPG Tanker,MANITOBA,LR
636017070,Cargo,Bulk Carrier,ARMIA KRAJOWA,LR
636017066,Tanker,Crude Oil Tanker,RED SUN,LR
636017062,Cargo,Vehicles Carrier,CLOVER ACE,LR
636017060,Tanker,Crude Oil Tanker,GOLDWAY,LR
636017023,Cargo - Hazard B,Container Ship,MSC RHIANNON,LR
636016999,Cargo - Hazard A (Major),Container Ship,MSC MIRELLA R,LR
636016933,Tanker - Hazard B,Oil or Chemical Tanker,CAIFU CHAO,LR
636016853,Cargo - Hazard A (Major),Container Ship,MSC MANHATTAN V,LR
636016851,Cargo,Container Ship,MSC JULIANA III,LR
636016805,Cargo - Hazard A (Major),Container Ship,MSC NADRIELY,LR
636016801,Tanker,Oil or Chemical Tanker,HIGH TRUST,LR
636016699,Tanker,Crude Oil Tanker,CATALAN SEA,LR
636016606,Cargo,Vehicles Carrier,GOODWOOD,LR
636016497,Cargo,Bulk Carrier,GENCO WEATHERLY,LR
636016477,,,,
636016476,Cargo,Container Ship,MSC ROCHELLE,LR
636016466,,,,
636016433,Cargo - Hazard A (Major),Container Ship,MSC VIDHI,LR
636016430,Cargo,Container Ship,MSC JULIA R.,LR
636016423,Cargo - Hazard D (Recognizable),Container Ship,MSC BHAVYA V,LR
636016420,Cargo,Vehicles Carrier,WISTERIA ACE,LR
636016376,Tanker - Hazard D (Recognizable),LNG Tanker,KOOL BALTIC,LR
636016306,Cargo,Container Ship,MSC SOFIA PAZ,LR
636016305,Cargo,Container Ship,MSC ALINA,LR
636016284,Cargo,General Cargo,SOPHIA I,LR
636016275,Tanker,Crude Oil Tanker,GEMINI SUN,LR
636016206,Other,Vehicles Carrier,LAKE WANAKA,LR
636016204,Cargo,Container Ship,MSC PRATITI,LR
636016128,Tanker,Crude Oil Tanker,WHITE MOON,LR
636016118,Cargo - Hazard C (Minor),Container Ship,JOANNA,LR
636016116,Tug,Tug,ORKA SULTAN,LR
636016096,Cargo,Vehicles Carrier,ONYX ACE,LR
636016066,Cargo,Container Ship,MSC POLARIS,LR
636015941,Tanker,LPG Tanker,NAVIGATOR VIRGO,LR
636015940,Tanker,LPG Tanker,NAVIGATOR SCORPIO,LR
636015939,Tanker - Hazard D (Recognizable),LPG Tanker,NAVIGATOR CAPRICORN,LR
636015915,Cargo,General Cargo,PONTICA,LR
636015875,Tanker,Oil or Chemical Tanker,DORIC PIONEER,LR
636015819,Cargo,Vehicles Carrier,GALAXY ACE,LR
636015743,Cargo,Container Ship,MSC ARCHIMIDIS,LR
636015710,Cargo,Bulk Carrier,KYRA PANAGHIA,LR
636015708,Cargo,Bulk Carrier,FRIENDLY ISLANDS,LR
636015706,Tanker,Crude Oil Tanker,PACIFIC ONYX,LR
636015666,Cargo,Container Ship,MSC ANCHORAGE,LR
636015665,Cargo - Hazard A (Major),Container Ship,MSC ALBANY,LR
636015664,Cargo - Hazard C (Minor),Container Ship,MSC ALTAMIRA,LR
636015619,Tanker - Hazard B,Oil or Chemical Tanker,STOLT ENDURANCE,LR
636015616,Cargo,General Cargo,CRYSTAL PEARL,LR
636015604,Cargo - Hazard A (Major),Container Ship,MSC ALTAIR,LR
636015567,Cargo,Bulk Carrier,KYRA ZAFIRA,LR
636015560,Tanker,Crude Oil Tanker,ANTARCTIC,LR
636015557,Cargo,Vehicles Carrier,GENUINE ACE,LR
636015556,Tanker,Oil or Chemical Tanker,OCEAN SPIRIT,LR
636015555,Other,Platform,VALARIS 122,LR
636015548,Cargo,Bulk Carrier,LITO,LR
636015526,Tanker,Crude Oil Tanker,SAKURA PRINCESS,LR
636015524,Cargo,Container Ship,IRENES RESOLVE,LR
636015506,Cargo - Hazard D (Recognizable),Container Ship,MSC VEGA,LR
636015480,Cargo,Container Ship,KESTREL,LR
636015427,Other,Platform,VALARIS 121,LR
636015404,Cargo,Container Ship,METHONI,LR
636015249,Tanker,Oil or Chemical Tanker,FPMC 28,LR
636015178,Tanker,Crude Oil Tanker,AQUALEGACY,LR
636015154,Tanker,Crude Oil Tanker,PACIFIC QUARTZ,LR
636015119,Tanker,Oil Products Tanker,SPYROS K,LR
636014902,Tanker - Hazard B,Oil or Chemical Tanker,AEGEAS,LR
636014740,Cargo,Container Ship,IRENES REMEDY,LR
636014472,Cargo,Vehicles Carrier,LAKE FUXIAN,LR
636014199,Cargo,Container Ship,CMA CGM LAPIS,LR
636013764,Tanker,Oil or Chemical Tanker,FELIX,LR
636013645,Tanker,Oil or Chemical Tanker,BALOS,LR
636013644,Cargo - Hazard A (Major),Container Ship,TONGALA,LR
636013144,Cargo - Hazard A (Major),Container Ship,ZIM SHEKOU,
636012807,,,,
636012379,Tanker,LPG Tanker,HASSI MESSAOUD 2,LR
636011280,Cargo,Vehicles Carrier,UNITED SPIRIT,LR
636010697,Cargo,Bulk Carrier,GIOVANNI TOPIC,
630001044,Cargo,Fish Carrier,ATLANTIQUE,GW
622121414,Cargo,Bulk Carrier,WADI ALKARM,EG
620979000,Cargo,General Cargo,ROYA,KM
619003000,Other,Other,PAPATO,CI
605246160,Passenger,Ro-Ro or Passenger Ship,TARIQ IBN ZIYAD,DZ
605176090,Tanker,LPG Tanker,HASSI TOUAREG,DZ
605176080,Tanker,LPG Tanker,HASSI BERKINE,DZ
605116230,Cargo,General Cargo,TITTERI,DZ
605086090,Cargo,Container Ship,DJANET,DZ
605086088,,,DJANET,
605086060,Cargo,Container Ship,CIRTA,DZ
605086020,Cargo,Container Ship,TAMANRASSET,DZ
605076070,Tanker - Hazard D (Recognizable),LNG Tanker,OUGARTA,DZ
605076052,Tanker - Hazard D (Recognizable),LPG Tanker,RHOURD EL FARES,DZ
605076051,Tanker - Hazard B,LPG Tanker,BERGA II,DZ
605026220,Tanker - Hazard D (Recognizable),LPG Tanker,RHOURD EL HAMRA,DZ
605026210,Tanker - Hazard B,LPG Tanker,RHOURD EL ADRA,DZ
605026190,Passenger,Passenger or Cargo Ship,EL DJAZAIR II,DZ
578001400,Passenger,Passenger Ship,LE JACQUES CARTIER,WF
578001300,Passenger,Passenger Ship,LE BOUGAINVILLE,WF
578000800,Passenger,Passenger Ship,LE LYRIAL,WF
577625000,,,,
577609000,Cargo,General Cargo,VERA MOON,VU
577566000,Cargo,General Cargo,ASLIHAN,VU
577565000,Cargo,General Cargo,MY EFEKAN 1,VU
577536000,Cargo,General Cargo,S WATERS ONE,VU
577530000,Cargo,General Cargo,MN GLORY,VU
577517000,Cargo,General Cargo,SNP SKY,VU
577473000,Cargo,General Cargo,AJOS,VU
577465000,,,,
577433000,Cargo,General Cargo,BOHA WITTENBERGEN,VU
577312000,Cargo,General Cargo,SEVVAL,VU
577273000,,,,
577203000,Other,Sailing Vessel,ESCAPADE,VU
576251000,,,,
574005470,Tanker,Oil or Chemical Tanker,ASTRA,VN
574004570,Tanker,Oil or Chemical Tanker,PVT AURORA,VN
572602220,,,,
572111110,Pleasure Craft,Yacht,ALALYA,TV
566976000,Tanker,Chemical Tanker,MTM HAMBURG,SG
566961000,Cargo - Hazard A (Major),Container Ship,APL MEXICO CITY,SG
566960000,Cargo - Hazard A (Major),Container Ship,APL DETROIT,SG
566957000,Cargo - Hazard A (Major),Container Ship,APL MIAMI,SG
566952000,Cargo - Hazard D (Recognizable),Container Ship,APL SAVANNAH,SG
566951000,Cargo - Hazard A (Major),Container Ship,APL PHOENIX,SG
566950000,Cargo - Hazard A (Major),Container Ship,APL BOSTON,SG
566881000,Cargo - Hazard A (Major),Container Ship,APL RAFFLES,SG
566879000,Cargo - Hazard A (Major),Container Ship,APL NEW YORK,SG
566797000,Cargo - Hazard A (Major),Container Ship,APL VANCOUVER,SG
566796000,Cargo - Hazard A (Major),Container Ship,APL TEMASEK,SG
566725000,,,,
566646000,Cargo,Bulk Carrier,STRATEGIC FORTITUDE,SG
566637000,Cargo,General Cargo,PAC CAPELLA,SG
566579000,Tanker,Oil or Chemical Tanker,HAFNIA SUNDA,SG
566502000,Tanker,Oil or Chemical Tanker,MAERSK BEAUFORT,SG
566393000,,,,
566341000,Cargo,Reefer,STAR CARE,SG
566245000,Tanker,Crude Oil Tanker,HAFNIA AUSTRALIA,SG
566141000,Tanker,Oil or Chemical Tanker,MAERSK KATARINA,SG
566098000,Cargo,Bulk Carrier,PATAGONIA,SG
566059000,Cargo,Reefer,CS QUALITY,SG
566042000,Cargo,Reefer,CS LEADER,SG
566030000,Tanker,Oil or Chemical Tanker,MAERSK KAYA,SG
565835000,Cargo,Vehicles Carrier,PROMETHEUS LEADER,SG
565671000,Cargo,Bulk Carrier,STRATEGIC VISION,SG
565654000,Passenger,Passenger,FRECCIA D'ARGENTO,SG
565583000,Cargo,General Cargo,IVS SPARROWHAWK,SG
565482000,Cargo - Hazard A (Major),Container Ship,MAERSK SENANG,SG
565449000,Cargo - Hazard A (Major),Container Ship,MAERSK SERANGOON,SG
565234000,,,,
565227000,Cargo,General Cargo,PACIFICA,SG
565190000,,,,
565183000,,,,
565169000,Cargo,General Cargo,PAC DUBHE,SG
565080000,,,,
564575000,Cargo - Hazard A (Major),Container Ship,LOS ANGELES EXPRESS,SG
564475000,,,,
564254000,Cargo,Vehicles Carrier,MORNING CLARA,SG
563394000,,,,
563377000,Cargo - Hazard A (Major),Container Ship,NORFOLK EXPRESS,SG
563357000,,,,
563198700,Tanker - Hazard B,Chemical Tanker,NV ATHENA,SG
563193300,Cargo,Container Ship,CMA CGM GUARANI,SG
563191300,Cargo - Hazard A (Major),Container Ship,ONE ATLAS,SG
